id	name	description	rating	country	city	idAsUUID
12	合肥云栖精选酒店	位于合肥热门商旅与度假片区, 主打科创城市与巢湖休闲。酒店提供舒适客房、城市游玩建议、亲子友好服务和灵活预定体验, 适合演示旅游搜索、票务预定、酒店预定和账户订单流程。	5.0	中国	合肥	714163f1-294b-6c54-b336-9de80f9c1dda
13	福州山海城市酒店	位于福州热门商旅与度假片区, 主打榕城古厝与闽江夜游。酒店提供舒适客房、城市游玩建议、亲子友好服务和灵活预定体验, 适合演示旅游搜索、票务预定、酒店预定和账户订单流程。	4.6	中国	福州	c83e3a9f-1cc5-4d7e-f222-f3b4b87f5c19
14	南昌星程文旅酒店	位于南昌热门商旅与度假片区, 主打英雄城记忆与赣江风景。酒店提供舒适客房、城市游玩建议、亲子友好服务和灵活预定体验, 适合演示旅游搜索、票务预定、酒店预定和账户订单流程。	5.0	中国	南昌	f7dd9068-3c10-c2e4-d027-6d16561b3435
15	济南中旅臻选酒店	位于济南热门商旅与度假片区, 主打泉城漫步与大明湖。酒店提供舒适客房、城市游玩建议、亲子友好服务和灵活预定体验, 适合演示旅游搜索、票务预定、酒店预定和账户订单流程。	4.7	中国	济南	ca91424f-d9f4-3b05-2c18-2d22be283b9b
16	郑州悦行度假酒店	位于郑州热门商旅与度假片区, 主打中原枢纽与黄河文化。酒店提供舒适客房、城市游玩建议、亲子友好服务和灵活预定体验, 适合演示旅游搜索、票务预定、酒店预定和账户订单流程。	5.0	中国	郑州	751abff3-efcb-138f-caa0-d4fe60085ace
17	武汉云栖精选酒店	位于武汉热门商旅与度假片区, 主打江城烟火与两江夜游。酒店提供舒适客房、城市游玩建议、亲子友好服务和灵活预定体验, 适合演示旅游搜索、票务预定、酒店预定和账户订单流程。	4.8	中国	武汉	dbd0b249-70d3-781b-d9c9-2ccfd04ff966
18	长沙山海城市酒店	位于长沙热门商旅与度假片区, 主打湘江夜色与美食街区。酒店提供舒适客房、城市游玩建议、亲子友好服务和灵活预定体验, 适合演示旅游搜索、票务预定、酒店预定和账户订单流程。	5.0	中国	长沙	31a45f74-c7c9-fa0f-049c-399006ec4ca8
19	广州白天鹅宾馆	位于荔湾区沙面南街1号, 坐落于沙面岛。酒店名称、地址与历史展示价参考 KAYAK 和 Trip.com 酒店页面, 页面价格仅作为演示数据库的历史快照。	4.8	中国	广州	a86c981d-f9d8-691e-35b9-5d0e0ebb69cd
20	南宁中旅臻选酒店	位于南宁热门商旅与度假片区, 主打绿城风光与壮乡风情。酒店提供舒适客房、城市游玩建议、亲子友好服务和灵活预定体验, 适合演示旅游搜索、票务预定、酒店预定和账户订单流程。	5.0	中国	南宁	f60a06cf-9462-effc-dd59-f5df5849410b
21	海口悦行度假酒店	位于海口热门商旅与度假片区, 主打海岛休闲与骑楼老街。酒店提供舒适客房、城市游玩建议、亲子友好服务和灵活预定体验, 适合演示旅游搜索、票务预定、酒店预定和账户订单流程。	5.0	中国	海口	3bc53bdb-0176-62b2-10ca-b0480f6e9039
22	成都博舍	位于锦江区笔帖式街81号, 靠近太古里。酒店名称与地址参考 Trip.com 酒店页面, 房价仅作为演示数据库的历史参考档位。	4.9	中国	成都	8cff7adc-071c-36da-32d5-c3c653c54a80
23	贵阳山海城市酒店	位于贵阳热门商旅与度假片区, 主打避暑山水与黔味小吃。酒店提供舒适客房、城市游玩建议、亲子友好服务和灵活预定体验, 适合演示旅游搜索、票务预定、酒店预定和账户订单流程。	5.0	中国	贵阳	02c4c389-1e48-6803-b5df-abe1fda94afb
24	昆明星程文旅酒店	位于昆明热门商旅与度假片区, 主打春城花海与滇池风光。酒店提供舒适客房、城市游玩建议、亲子友好服务和灵活预定体验, 适合演示旅游搜索、票务预定、酒店预定和账户订单流程。	5.0	中国	昆明	fd421ef1-f58c-866f-821d-2ce45415a1cf
25	拉萨中旅臻选酒店	位于拉萨热门商旅与度假片区, 主打雪域圣城与高原人文。酒店提供舒适客房、城市游玩建议、亲子友好服务和灵活预定体验, 适合演示旅游搜索、票务预定、酒店预定和账户订单流程。	5.0	中国	拉萨	f49ab14f-fae2-6f4e-d90d-dd0925ac798c
26	西安索菲特传奇酒店	位于明城墙历史区域, 靠近钟楼与鼓楼。酒店名称和介绍参考 Trip.com 酒店页面, 房价仅作为演示数据库的历史参考档位。	4.8	中国	西安	3c4f496b-5736-f665-dba3-f1c300cbef8a
27	兰州云栖精选酒店	位于兰州热门商旅与度假片区, 主打黄河风情与西北美食。酒店提供舒适客房、城市游玩建议、亲子友好服务和灵活预定体验, 适合演示旅游搜索、票务预定、酒店预定和账户订单流程。	5.0	中国	兰州	4fc7cf02-5c65-9c91-0884-609987a670ec
28	西宁山海城市酒店	位于西宁热门商旅与度假片区, 主打高原门户与青海湖线路。酒店提供舒适客房、城市游玩建议、亲子友好服务和灵活预定体验, 适合演示旅游搜索、票务预定、酒店预定和账户订单流程。	4.7	中国	西宁	baa7a905-dccf-48a3-e5fa-82d7a901474b
29	银川星程文旅酒店	位于银川热门商旅与度假片区, 主打塞上湖城与西夏文化。酒店提供舒适客房、城市游玩建议、亲子友好服务和灵活预定体验, 适合演示旅游搜索、票务预定、酒店预定和账户订单流程。	5.0	中国	银川	9f98b590-57c5-0321-970a-a8b3ce4ac2d8
30	乌鲁木齐中旅臻选酒店	位于乌鲁木齐热门商旅与度假片区, 主打天山风光与新疆市集。酒店提供舒适客房、城市游玩建议、亲子友好服务和灵活预定体验, 适合演示旅游搜索、票务预定、酒店预定和账户订单流程。	4.8	中国	乌鲁木齐	9e81db26-db2f-2067-06d1-fe6307741a06
31	香港悦行度假酒店	位于香港热门商旅与度假片区, 主打海港天际线与都市购物。酒店提供舒适客房、城市游玩建议、亲子友好服务和灵活预定体验, 适合演示旅游搜索、票务预定、酒店预定和账户订单流程。	5.0	中国	香港	5aa7de68-0975-cb1c-453f-adaa9b9235f7
32	澳门云栖精选酒店	位于澳门热门商旅与度假片区, 主打历史街区与休闲度假。酒店提供舒适客房、城市游玩建议、亲子友好服务和灵活预定体验, 适合演示旅游搜索、票务预定、酒店预定和账户订单流程。	4.9	中国	澳门	895d7688-d1c5-5d99-12d7-a1f67b7ee6cc
33	台北山海城市酒店	位于台北热门商旅与度假片区, 主打夜市文化与城市漫游。酒店提供舒适客房、城市游玩建议、亲子友好服务和灵活预定体验, 适合演示旅游搜索、票务预定、酒店预定和账户订单流程。	5.0	中国	台北	6fb2c398-0f23-cb92-6ffc-d6476b391ef8
34	深圳瑞吉酒店	位于罗湖区核心商圈, 可俯瞰城市景观。酒店名称参考 Trip.com 酒店页面, 房价仅作为演示数据库的历史参考档位。	4.8	中国	深圳	4e707f13-93ec-c92a-66d9-94521a47afc7
35	厦门中旅臻选酒店	位于厦门热门商旅与度假片区, 主打海岛城市与鼓浪屿。酒店提供舒适客房、城市游玩建议、亲子友好服务和灵活预定体验, 适合演示旅游搜索、票务预定、酒店预定和账户订单流程。	5.0	中国	厦门	bb71d0ef-93da-b8a5-cc54-2a5838bc9979
36	青岛悦行度假酒店	位于青岛热门商旅与度假片区, 主打海滨栈桥与啤酒文化。酒店提供舒适客房、城市游玩建议、亲子友好服务和灵活预定体验, 适合演示旅游搜索、票务预定、酒店预定和账户订单流程。	5.0	中国	青岛	53827d0d-c737-2395-caa4-f06bab8fbffe
37	大连云栖精选酒店	位于大连热门商旅与度假片区, 主打滨海公路与广场风景。酒店提供舒适客房、城市游玩建议、亲子友好服务和灵活预定体验, 适合演示旅游搜索、票务预定、酒店预定和账户订单流程。	5.0	中国	大连	9d5373ad-fd48-5927-cf3e-41d0315018ff
38	宁波山海城市酒店	位于宁波热门商旅与度假片区, 主打港城文化与东钱湖。酒店提供舒适客房、城市游玩建议、亲子友好服务和灵活预定体验, 适合演示旅游搜索、票务预定、酒店预定和账户订单流程。	5.0	中国	宁波	e56c6886-d124-730a-cbdf-942cf6435072
39	苏州星程文旅酒店	位于苏州热门商旅与度假片区, 主打园林水巷与江南古城。酒店提供舒适客房、城市游玩建议、亲子友好服务和灵活预定体验, 适合演示旅游搜索、票务预定、酒店预定和账户订单流程。	4.6	中国	苏州	21986712-9d25-3614-f48c-8206920fd3d4
40	无锡中旅臻选酒店	位于无锡热门商旅与度假片区, 主打太湖风光与鼋头渚。酒店提供舒适客房、城市游玩建议、亲子友好服务和灵活预定体验, 适合演示旅游搜索、票务预定、酒店预定和账户订单流程。	5.0	中国	无锡	6fd11e35-adbc-dd4f-07a2-3ac41fb495ca
41	桂林悦行度假酒店	位于桂林热门商旅与度假片区, 主打漓江山水与阳朔骑行。酒店提供舒适客房、城市游玩建议、亲子友好服务和灵活预定体验, 适合演示旅游搜索、票务预定、酒店预定和账户订单流程。	4.7	中国	桂林	5faf1da1-3281-d703-e5ba-65939d8dbcf0
42	三亚亚特兰蒂斯酒店	位于海棠湾海棠北路, 是综合娱乐度假酒店。酒店名称与历史展示价参考 Trip.com 酒店页面, 页面价格仅作为演示数据库的历史快照。	4.8	中国	三亚	99643562-1586-af6c-3063-76436d04c1a4
43	张家界山海城市酒店	位于张家界热门商旅与度假片区, 主打峰林峡谷与玻璃栈道。酒店提供舒适客房、城市游玩建议、亲子友好服务和灵活预定体验, 适合演示旅游搜索、票务预定、酒店预定和账户订单流程。	4.8	中国	张家界	fc449269-6cb5-d0d3-1799-3190f74bddeb
44	丽江星程文旅酒店	位于丽江热门商旅与度假片区, 主打古城雪山与纳西风情。酒店提供舒适客房、城市游玩建议、亲子友好服务和灵活预定体验, 适合演示旅游搜索、票务预定、酒店预定和账户订单流程。	5.0	中国	丽江	9121996c-93dc-edba-9a3a-a284cbd4c773
45	大理中旅臻选酒店	位于大理热门商旅与度假片区, 主打洱海骑行与苍山风景。酒店提供舒适客房、城市游玩建议、亲子友好服务和灵活预定体验, 适合演示旅游搜索、票务预定、酒店预定和账户订单流程。	4.9	中国	大理	e5c6e0e6-f64b-c227-4319-b94fa8c8895c
46	黄山悦行度假酒店	位于黄山热门商旅与度假片区, 主打云海奇松与徽州古村。酒店提供舒适客房、城市游玩建议、亲子友好服务和灵活预定体验, 适合演示旅游搜索、票务预定、酒店预定和账户订单流程。	5.0	中国	黄山	9b39d74b-ced2-bec9-bfb6-ed457b73d5ae
47	西双版纳云栖精选酒店	位于西双版纳热门商旅与度假片区, 主打热带雨林与傣族风情。酒店提供舒适客房、城市游玩建议、亲子友好服务和灵活预定体验, 适合演示旅游搜索、票务预定、酒店预定和账户订单流程。	5.0	中国	西双版纳	0ba3ab82-9038-de8b-3500-0e7712caabcf
48	珠海山海城市酒店	位于珠海热门商旅与度假片区, 主打海滨情侣路与海岛游。酒店提供舒适客房、城市游玩建议、亲子友好服务和灵活预定体验, 适合演示旅游搜索、票务预定、酒店预定和账户订单流程。	5.0	中国	珠海	13f205dc-fc51-deac-d2da-f07cac6bdf47
49	洛阳星程文旅酒店	位于洛阳热门商旅与度假片区, 主打牡丹花城与龙门石窟。酒店提供舒适客房、城市游玩建议、亲子友好服务和灵活预定体验, 适合演示旅游搜索、票务预定、酒店预定和账户订单流程。	5.0	中国	洛阳	9e60610d-39b7-2183-1e9a-c8373853889b
50	大同中旅臻选酒店	位于大同热门商旅与度假片区, 主打云冈石窟与古城墙。酒店提供舒适客房、城市游玩建议、亲子友好服务和灵活预定体验, 适合演示旅游搜索、票务预定、酒店预定和账户订单流程。	5.0	中国	大同	baab50ed-52c8-0d4a-2be1-fb282fe4b5b5
51	敦煌悦行度假酒店	位于敦煌热门商旅与度假片区, 主打莫高窟与鸣沙山月牙泉。酒店提供舒适客房、城市游玩建议、亲子友好服务和灵活预定体验, 适合演示旅游搜索、票务预定、酒店预定和账户订单流程。	5.0	中国	敦煌	33c3d249-32ad-9a44-923d-d4a0f5aa37a0
52	喀什云栖精选酒店	位于喀什热门商旅与度假片区, 主打古城巴扎与西域风情。酒店提供舒适客房、城市游玩建议、亲子友好服务和灵活预定体验, 适合演示旅游搜索、票务预定、酒店预定和账户订单流程。	4.6	中国	喀什	17345e55-13c7-1c34-bc6f-d9efd008458e
53	吐鲁番山海城市酒店	位于吐鲁番热门商旅与度假片区, 主打葡萄沟与火焰山。酒店提供舒适客房、城市游玩建议、亲子友好服务和灵活预定体验, 适合演示旅游搜索、票务预定、酒店预定和账户订单流程。	5.0	中国	吐鲁番	b77a151f-d395-3ae5-7baa-4697e1e658e4
54	阿勒泰星程文旅酒店	位于阿勒泰热门商旅与度假片区, 主打雪山湖泊与北疆自驾。酒店提供舒适客房、城市游玩建议、亲子友好服务和灵活预定体验, 适合演示旅游搜索、票务预定、酒店预定和账户订单流程。	4.7	中国	阿勒泰	aed63b8e-26c1-3f91-21f7-651241004364
55	秦皇岛中旅臻选酒店	位于秦皇岛热门商旅与度假片区, 主打北戴河海滨与长城入海。酒店提供舒适客房、城市游玩建议、亲子友好服务和灵活预定体验, 适合演示旅游搜索、票务预定、酒店预定和账户订单流程。	5.0	中国	秦皇岛	47404c1b-8ed2-9cca-9751-9a304e8be84e
56	威海悦行度假酒店	位于威海热门商旅与度假片区, 主打滨海公园与海岛度假。酒店提供舒适客房、城市游玩建议、亲子友好服务和灵活预定体验, 适合演示旅游搜索、票务预定、酒店预定和账户订单流程。	4.8	中国	威海	fa1a8656-2360-5748-978c-d11edd8a9786
57	泉州云栖精选酒店	位于泉州热门商旅与度假片区, 主打海丝古城与闽南文化。酒店提供舒适客房、城市游玩建议、亲子友好服务和灵活预定体验, 适合演示旅游搜索、票务预定、酒店预定和账户订单流程。	5.0	中国	泉州	a7601d96-ff3b-e632-db01-db437cb00cbd
58	扬州山海城市酒店	位于扬州热门商旅与度假片区, 主打瘦西湖与早茶文化。酒店提供舒适客房、城市游玩建议、亲子友好服务和灵活预定体验, 适合演示旅游搜索、票务预定、酒店预定和账户订单流程。	4.9	中国	扬州	63e5bcae-bff4-f2da-951c-d6d821672a57
59	嘉兴星程文旅酒店	位于嘉兴热门商旅与度假片区, 主打南湖红色文化与水乡古镇。酒店提供舒适客房、城市游玩建议、亲子友好服务和灵活预定体验, 适合演示旅游搜索、票务预定、酒店预定和账户订单流程。	5.0	中国	嘉兴	44cc74e3-396a-ec9e-49c4-78c5a2989704
60	北海中旅臻选酒店	位于北海热门商旅与度假片区, 主打银滩海风与涠洲岛。酒店提供舒适客房、城市游玩建议、亲子友好服务和灵活预定体验, 适合演示旅游搜索、票务预定、酒店预定和账户订单流程。	5.0	中国	北海	249d8495-1198-00fd-f354-86d083d318eb
61	景德镇悦行度假酒店	位于景德镇热门商旅与度假片区, 主打陶瓷文化与古窑体验。酒店提供舒适客房、城市游玩建议、亲子友好服务和灵活预定体验, 适合演示旅游搜索、票务预定、酒店预定和账户订单流程。	5.0	中国	景德镇	4975508f-a626-9782-d924-39b6e6348df7
62	延吉云栖精选酒店	位于延吉热门商旅与度假片区, 主打朝鲜族风情与边境美食。酒店提供舒适客房、城市游玩建议、亲子友好服务和灵活预定体验, 适合演示旅游搜索、票务预定、酒店预定和账户订单流程。	5.0	中国	延吉	1ee86ac8-7074-415d-7864-dd6b7ec70993
63	伊犁山海城市酒店	位于伊犁热门商旅与度假片区, 主打草原花海与河谷风光。酒店提供舒适客房、城市游玩建议、亲子友好服务和灵活预定体验, 适合演示旅游搜索、票务预定、酒店预定和账户订单流程。	5.0	中国	伊犁	a6eb65da-cb37-b010-1e28-fc8d1f874150
64	惠州星程文旅酒店	位于惠州热门商旅与度假片区, 主打双月湾海岸与温泉休闲。酒店提供舒适客房、城市游玩建议、亲子友好服务和灵活预定体验, 适合演示旅游搜索、票务预定、酒店预定和账户订单流程。	5.0	中国	惠州	66e75ec2-c9e7-9918-868e-7ea2bbe6d986
65	九寨沟中旅臻选酒店	位于九寨沟热门商旅与度假片区, 主打高山湖泊与彩林徒步。酒店提供舒适客房、城市游玩建议、亲子友好服务和灵活预定体验, 适合演示旅游搜索、票务预定、酒店预定和账户订单流程。	4.6	中国	九寨沟	ece70bb7-d2bd-790a-f826-e3988a704803
66	烟台悦行度假酒店	位于烟台热门商旅与度假片区, 主打葡萄酒庄与海岸风景。酒店提供舒适客房、城市游玩建议、亲子友好服务和灵活预定体验, 适合演示旅游搜索、票务预定、酒店预定和账户订单流程。	5.0	中国	烟台	942a2a13-79a4-88b0-5774-a2260cfb5653
67	佛山云栖精选酒店	位于佛山热门商旅与度假片区, 主打岭南武术与醒狮文化。酒店提供舒适客房、城市游玩建议、亲子友好服务和灵活预定体验, 适合演示旅游搜索、票务预定、酒店预定和账户订单流程。	4.7	中国	佛山	eb9e6fd1-8bdc-51d7-3529-92f92ccb8c7f
