id	name	description	cityId
11	柏曼度假酒店	地址：北京朝阳街109号（北京西）。联系电话：011-60185491。前台多语言服务，支持行李寄存。部分房型可俯瞰城市天际线。	C039
12	柏栎精品酒店	地址：广州人民大道347号（广州南）。联系电话：180-93155797。距车站步行 5 分钟，交通便利。提供高速 Wi‑Fi 及 24 小时热水。	C112
13	柏曼精品酒店	地址：广州朝阳街140号（广州南）。联系电话：130-31267123 / 046-69539335。设有地下停车场与充电桩。部分房型可俯瞰城市天际线。	C112
14	柏栎酒店	地址：广州人民大道35号（广州南）。联系电话：027-84435412 / 017-32354522。前台多语言服务，支持行李寄存。客房配备记忆棉床垫，保证舒适睡眠。可手机自助入住，无接触开门。提供高速 Wi‑Fi 及 24 小时热水。	C112
15	桔子宾馆	地址：重庆和平路336号（重庆北）。联系电话：026-80530378 / 049-81624476。提供高速 Wi‑Fi 及 24 小时热水。客房配备记忆棉床垫，保证舒适睡眠。	C272
16	碧桂大酒店	地址：重庆和平路26号（重庆北）。联系电话：052-60521832。提供高速 Wi‑Fi 及 24 小时热水。前台多语言服务，支持行李寄存。部分房型可俯瞰城市天际线。	C272
17	桔子度假酒店	地址：重庆解放路313号（重庆北）。联系电话：017-45797233 / 018-40659217。可手机自助入住，无接触开门。酒店内有健身房和洗衣房，住客免费使用。	C272
18	梅园酒店	地址：重庆人民大道381号（重庆）。联系电话：154-92792871 / 041-60793573。酒店内有健身房和洗衣房，住客免费使用。部分房型可俯瞰城市天际线。	C272
19	丽枫大酒店	地址：重庆朝阳街144号（重庆）。联系电话：159-51417549 / 154-97055849。含自助早餐，菜品丰富。酒店内有健身房和洗衣房，住客免费使用。前台多语言服务，支持行李寄存。	C272
20	碧桂宾馆	地址：重庆和平路83号（重庆）。联系电话：019-89954572。周边 500 米内即是商场与美食街。可手机自助入住，无接触开门。前台多语言服务，支持行李寄存。距车站步行 5 分钟，交通便利。	C272
21	悦榕宾馆	地址：重庆迎宾大道129号（重庆南）。联系电话：014-58621167 / 010-50203253。提供高速 Wi‑Fi 及 24 小时热水。前台多语言服务，支持行李寄存。含自助早餐，菜品丰富。	C272
22	桔子度假酒店	地址：重庆迎宾大道85号（重庆南）。联系电话：191-65923321。可手机自助入住，无接触开门。部分房型可俯瞰城市天际线。提供高速 Wi‑Fi 及 24 小时热水。	C272
23	桔子国际酒店	地址：重庆和平路86号（重庆南）。联系电话：026-30907849。酒店内有健身房和洗衣房，住客免费使用。客房配备记忆棉床垫，保证舒适睡眠。提供高速 Wi‑Fi 及 24 小时热水。周边 500 米内即是商场与美食街。	C272
24	云栖度假酒店	地址：重庆解放路82号（重庆西）。联系电话：180-92862857。周边 500 米内即是商场与美食街。含自助早餐，菜品丰富。	C272
25	星程国际酒店	地址：重庆解放路138号（重庆西）。联系电话：012-25612466。距车站步行 5 分钟，交通便利。酒店内有健身房和洗衣房，住客免费使用。设有地下停车场与充电桩。含自助早餐，菜品丰富。	C272
26	碧桂度假酒店	地址：重庆和平路237号（重庆西）。联系电话：026-57590200。部分房型可俯瞰城市天际线。提供高速 Wi‑Fi 及 24 小时热水。酒店内有健身房和洗衣房，住客免费使用。	C272
27	沐兰大酒店	地址：重庆人民大道157号（重庆西）。联系电话：192-81779986。酒店内有健身房和洗衣房，住客免费使用。距车站步行 5 分钟，交通便利。前台多语言服务，支持行李寄存。部分房型可俯瞰城市天际线。	C272
28	锦江酒店	地址：广州迎宾大道279号（广州东）。联系电话：198-99738388。距车站步行 5 分钟，交通便利。可手机自助入住，无接触开门。设有地下停车场与充电桩。提供高速 Wi‑Fi 及 24 小时热水。	C112
29	星程酒店	地址：广州解放路211号（广州东）。联系电话：043-69054437 / 188-36838585。设有地下停车场与充电桩。部分房型可俯瞰城市天际线。距车站步行 5 分钟，交通便利。客房配备记忆棉床垫，保证舒适睡眠。	C112
30	碧桂宾馆	地址：上海迎宾大道263号（上海）。联系电话：135-74579212 / 015-76171430。前台多语言服务，支持行李寄存。提供高速 Wi‑Fi 及 24 小时热水。周边 500 米内即是商场与美食街。设有地下停车场与充电桩。	C005
31	沐兰精品酒店	地址：上海人民大道203号（上海）。联系电话：023-89221860 / 184-89286176。距车站步行 5 分钟，交通便利。酒店内有健身房和洗衣房，住客免费使用。含自助早餐，菜品丰富。	C005
32	枫叶国际酒店	地址：上海和平路48号（上海南）。联系电话：136-65303075 / 038-27017164。酒店内有健身房和洗衣房，住客免费使用。设有地下停车场与充电桩。含自助早餐，菜品丰富。客房配备记忆棉床垫，保证舒适睡眠。	C005
33	柏曼度假酒店	地址：上海解放路178号（上海南）。联系电话：156-65486433。距车站步行 5 分钟，交通便利。提供高速 Wi‑Fi 及 24 小时热水。前台多语言服务，支持行李寄存。	C005
34	柏栎宾馆	地址：上海中心路286号（上海南）。联系电话：131-61946025 / 057-81345137。周边 500 米内即是商场与美食街。前台多语言服务，支持行李寄存。客房配备记忆棉床垫，保证舒适睡眠。距车站步行 5 分钟，交通便利。	C005
35	碧桂精品酒店	地址：上海迎宾大道109号（上海南）。联系电话：034-22465596。部分房型可俯瞰城市天际线。含自助早餐，菜品丰富。	C005
36	月光宾馆	地址：上海解放路40号（上海虹桥）。联系电话：042-28619182。距车站步行 5 分钟，交通便利。前台多语言服务，支持行李寄存。部分房型可俯瞰城市天际线。含自助早餐，菜品丰富。	C005
37	锦江宾馆	地址：上海人民大道182号（上海虹桥）。联系电话：152-63928284 / 198-37448655。周边 500 米内即是商场与美食街。设有地下停车场与充电桩。	C005
38	柏栎大酒店	地址：上海解放路80号（上海虹桥）。联系电话：022-70900046 / 152-64798060。可手机自助入住，无接触开门。酒店内有健身房和洗衣房，住客免费使用。含自助早餐，菜品丰富。	C005
39	雅致大酒店	地址：上海人民大道49号（上海虹桥）。联系电话：191-54377644。客房配备记忆棉床垫，保证舒适睡眠。设有地下停车场与充电桩。部分房型可俯瞰城市天际线。	C005
40	锦江精品酒店	地址：上海迎宾大道154号（上海西）。联系电话：053-42323832。部分房型可俯瞰城市天际线。提供高速 Wi‑Fi 及 24 小时热水。含自助早餐，菜品丰富。周边 500 米内即是商场与美食街。	C005
41	桔子酒店	地址：上海中心路390号（上海西）。联系电话：186-15736912 / 150-59635437。距车站步行 5 分钟，交通便利。客房配备记忆棉床垫，保证舒适睡眠。提供高速 Wi‑Fi 及 24 小时热水。前台多语言服务，支持行李寄存。	C005
42	桔子宾馆	地址：上海解放路266号（上海西）。联系电话：182-51880438 / 033-48258685。部分房型可俯瞰城市天际线。客房配备记忆棉床垫，保证舒适睡眠。	C005
43	悦榕宾馆	地址：上海人民大道286号（上海西）。联系电话：152-95258317 / 133-82943722。提供高速 Wi‑Fi 及 24 小时热水。酒店内有健身房和洗衣房，住客免费使用。周边 500 米内即是商场与美食街。部分房型可俯瞰城市天际线。	C005
44	柏栎国际酒店	地址：天津迎宾大道284号（天津北）。联系电话：023-79308483。周边 500 米内即是商场与美食街。客房配备记忆棉床垫，保证舒适睡眠。	C082
45	桔子大酒店	地址：天津解放路399号（天津北）。联系电话：188-23351062。含自助早餐，菜品丰富。可手机自助入住，无接触开门。	C082
46	柏栎国际酒店	地址：天津中心路173号（天津北）。联系电话：032-58371541 / 191-54131608。可手机自助入住，无接触开门。周边 500 米内即是商场与美食街。部分房型可俯瞰城市天际线。距车站步行 5 分钟，交通便利。	C082
47	柏栎精品酒店	地址：天津解放路137号（天津北）。联系电话：053-38237485 / 139-77516193。酒店内有健身房和洗衣房，住客免费使用。距车站步行 5 分钟，交通便利。	C082
48	柏栎国际酒店	地址：天津中心路193号（天津）。联系电话：057-86221599。提供高速 Wi‑Fi 及 24 小时热水。距车站步行 5 分钟，交通便利。含自助早餐，菜品丰富。酒店内有健身房和洗衣房，住客免费使用。	C082
49	丽枫精品酒店	地址：天津朝阳街366号（天津）。联系电话：132-59867581 / 030-66737581。距车站步行 5 分钟，交通便利。部分房型可俯瞰城市天际线。前台多语言服务，支持行李寄存。设有地下停车场与充电桩。	C082
50	月光国际酒店	地址：天津朝阳街376号（天津）。联系电话：153-94141499 / 040-70412727。可手机自助入住，无接触开门。客房配备记忆棉床垫，保证舒适睡眠。酒店内有健身房和洗衣房，住客免费使用。	C082
51	星程大酒店	地址：天津迎宾大道352号（天津南）。联系电话：159-39199714。酒店内有健身房和洗衣房，住客免费使用。设有地下停车场与充电桩。周边 500 米内即是商场与美食街。	C082
52	花筑精品酒店	地址：天津朝阳街259号（天津南）。联系电话：189-73944818。设有地下停车场与充电桩。部分房型可俯瞰城市天际线。	C082
53	柏曼酒店	地址：天津人民大道238号（天津南）。联系电话：159-49360487。周边 500 米内即是商场与美食街。酒店内有健身房和洗衣房，住客免费使用。	C082
54	花筑大酒店	地址：天津解放路370号（天津西）。联系电话：011-58503321。部分房型可俯瞰城市天际线。距车站步行 5 分钟，交通便利。可手机自助入住，无接触开门。含自助早餐，菜品丰富。	C082
55	璞丽大酒店	地址：天津解放路208号（天津西）。联系电话：027-85867152 / 024-52880681。酒店内有健身房和洗衣房，住客免费使用。含自助早餐，菜品丰富。	C082
56	楠舍宾馆	地址：天津建设路167号（天津西）。联系电话：185-78636431 / 043-42080341。含自助早餐，菜品丰富。距车站步行 5 分钟，交通便利。部分房型可俯瞰城市天际线。	C082
57	枫叶酒店	地址：香港解放路195号（香港西九龙）。联系电话：139-67059498。含自助早餐，菜品丰富。距车站步行 5 分钟，交通便利。设有地下停车场与充电桩。	C300
58	悦榕精品酒店	地址：香港迎宾大道162号（香港西九龙）。联系电话：034-34184687 / 027-74993694。距车站步行 5 分钟，交通便利。提供高速 Wi‑Fi 及 24 小时热水。可手机自助入住，无接触开门。部分房型可俯瞰城市天际线。	C300
59	星程宾馆	地址：香港朝阳街135号（香港西九龙）。联系电话：182-58077195 / 182-36177044。设有地下停车场与充电桩。可手机自助入住，无接触开门。部分房型可俯瞰城市天际线。客房配备记忆棉床垫，保证舒适睡眠。	C300
60	花筑国际酒店	地址：香港建设路258号（香港西九龙）。联系电话：185-49149300 / 053-67826887。含自助早餐，菜品丰富。周边 500 米内即是商场与美食街。前台多语言服务，支持行李寄存。	C300
61	柏栎国际酒店	地址：长春中心路332号（长春）。联系电话：186-40371683 / 195-37518263。含自助早餐，菜品丰富。部分房型可俯瞰城市天际线。	C283
62	枫叶国际酒店	地址：长春中心路268号（长春）。联系电话：039-56286897 / 185-85246456。客房配备记忆棉床垫，保证舒适睡眠。距车站步行 5 分钟，交通便利。部分房型可俯瞰城市天际线。	C283
63	枫叶国际酒店	地址：长春迎宾大道363号（长春）。联系电话：030-64262684。部分房型可俯瞰城市天际线。周边 500 米内即是商场与美食街。	C283
64	花筑精品酒店	地址：长春人民大道176号（长春南）。联系电话：159-71286035。酒店内有健身房和洗衣房，住客免费使用。部分房型可俯瞰城市天际线。含自助早餐，菜品丰富。周边 500 米内即是商场与美食街。	C283
65	雅致度假酒店	地址：长春解放路167号（长春南）。联系电话：137-33457574 / 021-64599148。可手机自助入住，无接触开门。提供高速 Wi‑Fi 及 24 小时热水。周边 500 米内即是商场与美食街。	C283
66	楠舍酒店	地址：长春和平路103号（长春西）。联系电话：017-76803965 / 045-73858955。含自助早餐，菜品丰富。部分房型可俯瞰城市天际线。设有地下停车场与充电桩。客房配备记忆棉床垫，保证舒适睡眠。	C283
67	悦榕国际酒店	地址：长春解放路340号（长春西）。联系电话：191-63989637 / 134-83601566。含自助早餐，菜品丰富。距车站步行 5 分钟，交通便利。	C283
68	柏曼酒店	地址：成都解放路387号（成都东）。联系电话：197-35703962。设有地下停车场与充电桩。酒店内有健身房和洗衣房，住客免费使用。距车站步行 5 分钟，交通便利。提供高速 Wi‑Fi 及 24 小时热水。	C128
69	悦榕国际酒店	地址：成都人民大道272号（成都东）。联系电话：049-78799456 / 017-68138437。周边 500 米内即是商场与美食街。客房配备记忆棉床垫，保证舒适睡眠。前台多语言服务，支持行李寄存。	C128
70	楠舍酒店	地址：成都人民大道112号（成都南）。联系电话：159-29798236 / 050-74924625。距车站步行 5 分钟，交通便利。提供高速 Wi‑Fi 及 24 小时热水。	C128
71	雅致度假酒店	地址：成都中心路396号（成都南）。联系电话：133-47770952 / 030-80737457。设有地下停车场与充电桩。前台多语言服务，支持行李寄存。含自助早餐，菜品丰富。客房配备记忆棉床垫，保证舒适睡眠。	C128
72	璞丽大酒店	地址：成都中心路357号（成都）。联系电话：016-24990322。周边 500 米内即是商场与美食街。部分房型可俯瞰城市天际线。距车站步行 5 分钟，交通便利。客房配备记忆棉床垫，保证舒适睡眠。	C128
73	枫叶大酒店	地址：成都解放路58号（成都）。联系电话：032-78402321。可手机自助入住，无接触开门。设有地下停车场与充电桩。客房配备记忆棉床垫，保证舒适睡眠。酒店内有健身房和洗衣房，住客免费使用。	C128
74	悦榕国际酒店	地址：成都解放路125号（成都）。联系电话：029-71866348。周边 500 米内即是商场与美食街。部分房型可俯瞰城市天际线。提供高速 Wi‑Fi 及 24 小时热水。	C128
75	柏栎大酒店	地址：成都建设路315号（成都）。联系电话：019-52670911。设有地下停车场与充电桩。客房配备记忆棉床垫，保证舒适睡眠。前台多语言服务，支持行李寄存。	C128
76	璞丽国际酒店	地址：长沙和平路318号（长沙）。联系电话：034-54470349 / 010-73944670。设有地下停车场与充电桩。部分房型可俯瞰城市天际线。含自助早餐，菜品丰富。	C284
77	柏栎精品酒店	地址：长沙人民大道16号（长沙）。联系电话：184-10400456。客房配备记忆棉床垫，保证舒适睡眠。前台多语言服务，支持行李寄存。周边 500 米内即是商场与美食街。部分房型可俯瞰城市天际线。	C284
78	云栖大酒店	地址：长沙和平路195号（长沙南）。联系电话：029-63412783 / 154-13743141。酒店内有健身房和洗衣房，住客免费使用。距车站步行 5 分钟，交通便利。	C284
79	桔子精品酒店	地址：长沙中心路274号（长沙南）。联系电话：188-48191495。距车站步行 5 分钟，交通便利。前台多语言服务，支持行李寄存。含自助早餐，菜品丰富。客房配备记忆棉床垫，保证舒适睡眠。	C284
80	梅园宾馆	地址：长沙和平路396号（长沙南）。联系电话：130-51175601 / 194-53747858。前台多语言服务，支持行李寄存。酒店内有健身房和洗衣房，住客免费使用。设有地下停车场与充电桩。部分房型可俯瞰城市天际线。	C284
81	云栖国际酒店	地址：济南朝阳街196号（大明湖）。联系电话：023-78168948。距车站步行 5 分钟，交通便利。周边 500 米内即是商场与美食街。可手机自助入住，无接触开门。	C180
82	柏曼度假酒店	地址：济南和平路225号（大明湖）。联系电话：011-45354397 / 189-75154971。提供高速 Wi‑Fi 及 24 小时热水。距车站步行 5 分钟，交通便利。客房配备记忆棉床垫，保证舒适睡眠。前台多语言服务，支持行李寄存。	C180
83	悦榕精品酒店	地址：济南迎宾大道196号（大明湖）。联系电话：021-68302865 / 185-57002619。含自助早餐，菜品丰富。酒店内有健身房和洗衣房，住客免费使用。	C180
84	柏曼度假酒店	地址：福州建设路398号（福州）。联系电话：048-23584313 / 190-61381942。设有地下停车场与充电桩。周边 500 米内即是商场与美食街。含自助早餐，菜品丰富。	C221
85	枫叶国际酒店	地址：福州迎宾大道283号（福州）。联系电话：192-38863207 / 136-59027590。距车站步行 5 分钟，交通便利。设有地下停车场与充电桩。	C221
86	花筑国际酒店	地址：福州人民大道40号（福州南）。联系电话：025-54130879 / 013-42013694。设有地下停车场与充电桩。酒店内有健身房和洗衣房，住客免费使用。客房配备记忆棉床垫，保证舒适睡眠。	C221
87	柏栎国际酒店	地址：福州迎宾大道312号（福州南）。联系电话：155-77456022 / 043-63274586。提供高速 Wi‑Fi 及 24 小时热水。部分房型可俯瞰城市天际线。	C221
88	枫叶宾馆	地址：福州朝阳街190号（福州南）。联系电话：180-37491017。设有地下停车场与充电桩。距车站步行 5 分钟，交通便利。酒店内有健身房和洗衣房，住客免费使用。	C221
89	丽枫大酒店	地址：贵阳建设路196号（贵阳）。联系电话：189-61879649 / 182-20203231。可手机自助入住，无接触开门。提供高速 Wi‑Fi 及 24 小时热水。含自助早餐，菜品丰富。客房配备记忆棉床垫，保证舒适睡眠。	C249
90	桔子大酒店	地址：贵阳和平路134号（贵阳）。联系电话：043-28204154。可手机自助入住，无接触开门。提供高速 Wi‑Fi 及 24 小时热水。前台多语言服务，支持行李寄存。	C249
91	璞丽精品酒店	地址：广州朝阳街188号（广州）。联系电话：055-79423018 / 197-35788821。周边 500 米内即是商场与美食街。可手机自助入住，无接触开门。	C112
92	悦榕精品酒店	地址：广州迎宾大道266号（广州）。联系电话：131-16259616 / 154-10472907。周边 500 米内即是商场与美食街。酒店内有健身房和洗衣房，住客免费使用。	C112
93	璞丽度假酒店	地址：广州中心路66号（广州）。联系电话：153-82803663。距车站步行 5 分钟，交通便利。客房配备记忆棉床垫，保证舒适睡眠。前台多语言服务，支持行李寄存。	C112
94	花筑酒店	地址：广州朝阳街219号（广州西）。联系电话：024-83528747。设有地下停车场与充电桩。前台多语言服务，支持行李寄存。周边 500 米内即是商场与美食街。	C112
95	柏栎宾馆	地址：广州中心路248号（广州西）。联系电话：131-42672272 / 011-61423528。部分房型可俯瞰城市天际线。含自助早餐，菜品丰富。	C112
96	丽枫宾馆	地址：哈尔滨解放路226号（哈尔滨）。联系电话：026-22382987。前台多语言服务，支持行李寄存。提供高速 Wi‑Fi 及 24 小时热水。酒店内有健身房和洗衣房，住客免费使用。可手机自助入住，无接触开门。	C066
97	枫叶大酒店	地址：哈尔滨人民大道19号（哈尔滨）。联系电话：190-36388510。可手机自助入住，无接触开门。含自助早餐，菜品丰富。	C066
98	星程大酒店	地址：哈尔滨迎宾大道174号（哈尔滨）。联系电话：186-72671111。周边 500 米内即是商场与美食街。部分房型可俯瞰城市天际线。提供高速 Wi‑Fi 及 24 小时热水。	C066
99	月光宾馆	地址：哈尔滨朝阳街368号（哈尔滨）。联系电话：027-34955972。周边 500 米内即是商场与美食街。距车站步行 5 分钟，交通便利。	C066
100	桔子国际酒店	地址：哈尔滨迎宾大道206号（哈尔滨东）。联系电话：054-51473944 / 152-88270750。可手机自助入住，无接触开门。前台多语言服务，支持行李寄存。	C066
101	梅园精品酒店	地址：哈尔滨朝阳街82号（哈尔滨东）。联系电话：010-54355068 / 193-54838649。提供高速 Wi‑Fi 及 24 小时热水。前台多语言服务，支持行李寄存。酒店内有健身房和洗衣房，住客免费使用。	C066
102	楠舍大酒店	地址：哈尔滨朝阳街301号（哈尔滨东）。联系电话：184-96438147。设有地下停车场与充电桩。部分房型可俯瞰城市天际线。	C066
103	雅致度假酒店	地址：哈尔滨中心路147号（哈尔滨东）。联系电话：043-31115449 / 191-56922233。前台多语言服务，支持行李寄存。提供高速 Wi‑Fi 及 24 小时热水。酒店内有健身房和洗衣房，住客免费使用。	C066
104	梅园宾馆	地址：哈尔滨建设路133号（哈尔滨西）。联系电话：026-52154862。提供高速 Wi‑Fi 及 24 小时热水。酒店内有健身房和洗衣房，住客免费使用。	C066
105	悦榕度假酒店	地址：哈尔滨解放路162号（哈尔滨西）。联系电话：033-30659593。客房配备记忆棉床垫，保证舒适睡眠。酒店内有健身房和洗衣房，住客免费使用。距车站步行 5 分钟，交通便利。前台多语言服务，支持行李寄存。	C066
106	锦江宾馆	地址：哈尔滨迎宾大道161号（哈尔滨西）。联系电话：186-37799406。酒店内有健身房和洗衣房，住客免费使用。含自助早餐，菜品丰富。设有地下停车场与充电桩。	C066
107	锦江国际酒店	地址：合肥人民大道378号（合肥）。联系电话：139-49823778 / 054-27058428。前台多语言服务，支持行李寄存。提供高速 Wi‑Fi 及 24 小时热水。	C053
108	锦江度假酒店	地址：合肥中心路390号（合肥）。联系电话：182-35506752。部分房型可俯瞰城市天际线。周边 500 米内即是商场与美食街。前台多语言服务，支持行李寄存。距车站步行 5 分钟，交通便利。	C053
109	云栖大酒店	地址：合肥朝阳街398号（合肥）。联系电话：051-72387923 / 186-38963827。可手机自助入住，无接触开门。客房配备记忆棉床垫，保证舒适睡眠。含自助早餐，菜品丰富。部分房型可俯瞰城市天际线。	C053
110	花筑度假酒店	地址：合肥迎宾大道117号（合肥西）。联系电话：055-69611875。前台多语言服务，支持行李寄存。酒店内有健身房和洗衣房，住客免费使用。	C053
111	梅园酒店	地址：合肥解放路70号（合肥西）。联系电话：018-38909903 / 029-71375893。前台多语言服务，支持行李寄存。客房配备记忆棉床垫，保证舒适睡眠。	C053
112	梅园国际酒店	地址：土默特左旗中心路170号（呼和浩特东）。联系电话：058-77124076 / 158-11936861。设有地下停车场与充电桩。提供高速 Wi‑Fi 及 24 小时热水。距车站步行 5 分钟，交通便利。部分房型可俯瞰城市天际线。	C061
113	沐兰宾馆	地址：土默特左旗朝阳街22号（呼和浩特东）。联系电话：030-26569913 / 183-53990027。部分房型可俯瞰城市天际线。周边 500 米内即是商场与美食街。	C061
114	锦江度假酒店	地址：呼和浩特和平路374号（呼和浩特）。联系电话：153-58080771。设有地下停车场与充电桩。部分房型可俯瞰城市天际线。含自助早餐，菜品丰富。可手机自助入住，无接触开门。	C061
115	枫叶酒店	地址：呼和浩特中心路80号（呼和浩特）。联系电话：197-96354854。周边 500 米内即是商场与美食街。酒店内有健身房和洗衣房，住客免费使用。	C061
116	枫叶国际酒店	地址：呼和浩特迎宾大道394号（呼和浩特）。联系电话：046-79137662 / 030-28186178。提供高速 Wi‑Fi 及 24 小时热水。距车站步行 5 分钟，交通便利。酒店内有健身房和洗衣房，住客免费使用。部分房型可俯瞰城市天际线。	C061
117	璞丽精品酒店	地址：呼和浩特中心路342号（呼和浩特）。联系电话：184-94380728 / 154-71707514。酒店内有健身房和洗衣房，住客免费使用。设有地下停车场与充电桩。距车站步行 5 分钟，交通便利。	C061
118	星程酒店	地址：海口中心路40号（海口东）。联系电话：034-82067078。部分房型可俯瞰城市天际线。设有地下停车场与充电桩。含自助早餐，菜品丰富。周边 500 米内即是商场与美食街。	C184
119	雅致国际酒店	地址：海口中心路352号（海口东）。联系电话：197-88202623。设有地下停车场与充电桩。客房配备记忆棉床垫，保证舒适睡眠。含自助早餐，菜品丰富。提供高速 Wi‑Fi 及 24 小时热水。	C184
120	梅园宾馆	地址：海口迎宾大道60号（海口）。联系电话：133-33765471。前台多语言服务，支持行李寄存。酒店内有健身房和洗衣房，住客免费使用。	C184
121	碧桂宾馆	地址：海口朝阳街369号（海口）。联系电话：193-85069418。酒店内有健身房和洗衣房，住客免费使用。周边 500 米内即是商场与美食街。部分房型可俯瞰城市天际线。	C184
122	楠舍宾馆	地址：海口中心路226号（海口）。联系电话：047-53958004 / 154-81141121。提供高速 Wi‑Fi 及 24 小时热水。周边 500 米内即是商场与美食街。	C184
123	星程度假酒店	地址：海口和平路387号（海口）。联系电话：048-54404558。前台多语言服务，支持行李寄存。周边 500 米内即是商场与美食街。设有地下停车场与充电桩。含自助早餐，菜品丰富。	C184
124	锦江度假酒店	地址：杭州人民大道228号（杭州东）。联系电话：050-61775656。提供高速 Wi‑Fi 及 24 小时热水。含自助早餐，菜品丰富。	C153
125	月光度假酒店	地址：杭州人民大道388号（杭州东）。联系电话：180-45001859 / 046-74851835。酒店内有健身房和洗衣房，住客免费使用。前台多语言服务，支持行李寄存。	C153
126	柏曼国际酒店	地址：杭州和平路83号（杭州东）。联系电话：190-32057261 / 139-67843374。设有地下停车场与充电桩。距车站步行 5 分钟，交通便利。周边 500 米内即是商场与美食街。	C153
127	沐兰宾馆	地址：杭州和平路120号（杭州东）。联系电话：015-47246253。含自助早餐，菜品丰富。提供高速 Wi‑Fi 及 24 小时热水。周边 500 米内即是商场与美食街。	C153
128	枫叶大酒店	地址：杭州迎宾大道91号（杭州）。联系电话：194-49703937。客房配备记忆棉床垫，保证舒适睡眠。前台多语言服务，支持行李寄存。	C153
129	碧桂度假酒店	地址：杭州人民大道98号（杭州）。联系电话：037-24374709 / 199-48215706。含自助早餐，菜品丰富。提供高速 Wi‑Fi 及 24 小时热水。距车站步行 5 分钟，交通便利。	C153
130	柏曼酒店	地址：杭州和平路324号（杭州）。联系电话：013-87137166 / 029-61660953。含自助早餐，菜品丰富。客房配备记忆棉床垫，保证舒适睡眠。	C153
131	碧桂精品酒店	地址：杭州朝阳街250号（杭州南）。联系电话：015-64947523 / 159-98508343。距车站步行 5 分钟，交通便利。酒店内有健身房和洗衣房，住客免费使用。提供高速 Wi‑Fi 及 24 小时热水。设有地下停车场与充电桩。	C153
132	雅致国际酒店	地址：杭州中心路318号（杭州南）。联系电话：040-27187555。可手机自助入住，无接触开门。提供高速 Wi‑Fi 及 24 小时热水。含自助早餐，菜品丰富。前台多语言服务，支持行李寄存。	C153
133	悦榕酒店	地址：济南迎宾大道338号（济南）。联系电话：015-42237293 / 033-42612227。可手机自助入住，无接触开门。周边 500 米内即是商场与美食街。酒店内有健身房和洗衣房，住客免费使用。提供高速 Wi‑Fi 及 24 小时热水。	C180
134	楠舍度假酒店	地址：济南解放路289号（济南）。联系电话：185-20134813 / 034-60878704。提供高速 Wi‑Fi 及 24 小时热水。含自助早餐，菜品丰富。部分房型可俯瞰城市天际线。	C180
135	沐兰酒店	地址：济南建设路33号（济南西）。联系电话：027-70051908。客房配备记忆棉床垫，保证舒适睡眠。周边 500 米内即是商场与美食街。设有地下停车场与充电桩。	C180
136	梅园度假酒店	地址：济南人民大道373号（济南西）。联系电话：138-70787528。前台多语言服务，支持行李寄存。可手机自助入住，无接触开门。	C180
137	星程国际酒店	地址：昆明迎宾大道390号（昆明）。联系电话：182-48706035。部分房型可俯瞰城市天际线。距车站步行 5 分钟，交通便利。可手机自助入住，无接触开门。前台多语言服务，支持行李寄存。	C142
138	雅致宾馆	地址：昆明建设路51号（昆明）。联系电话：139-20191329。周边 500 米内即是商场与美食街。部分房型可俯瞰城市天际线。	C142
